description,answers
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,กรองฝุ่นได้ดีในระดับหนึ่งช่วยกรองตอนกลางคืนนอนแล้วไม่แสบจมูกกองฝุ่นละอองในห้องนอนเสียงไม่ดังใช้งานง่ายสั่งอัตโนมัติได้ด้วย
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,ขนส่งเร็วปานกลาง กล่องบุบทะลุเล็กน้อย สินค้าไม่เสียหายมีโฟมป้องกันมาอีกชั้นสินค้าวัสดุที่ใช้ดูดี การออกแบบสวย 8/10 ใช้งานแล้ว สัมผัสได้ว่าอากาศภายในบ้านดีขึ้นจริง
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,ขนาดเหมาะสําหรับห้องขนาดใหญ่ การออกแบบภายนอกดูแล้วรูปทรงมีความสวยงาม มีหน้าจอระบบสัมผัสแตะเบาๆก็ทํางานได้ดีน่าใช้มาก speed 2 เสียงจะเริ่มดัง speed 3 เสียงจะดังพอสมควร
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,จัดส่งไว้ใช้งานได้ดีครับ ชอบมาก อากาศสะอาด ครอบคุมพื้นที่กว้าง ภายในบ้านได้ เชื่อมแอพยิ่งสะดวก
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,ซื้อเครื่องใหญ่ แต่มาใช้กับห้อง 4*3 ก็ดีค่ะ ที่บ้านนอนกับน้องหมา ห้องมีปัญหากลิ่นอับบ้าง เครื่องฟอหช่วยเรื่องกลิ่นได้เยอะเลยค่ะ
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,ได้รับแล้วคะ สถาพดีคะ. ขอถามว่าถ้าภายในปีประกันส่งซ่อมยังไงคะ ถ้ามีปัญหาทีหลัง หรือถ้าเกินปีรับประกัน ส่งซ่อมที่ไหนยังไงคะ
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,รุ่นใหม่นี้ดีมาก สามารถเปิดฝาครอบด้านบนได้ เพื่อทําความสะอาด ด้านใน มีเส้นเป็นสี แดง เหลืองเขียว บอกคุณภาพของอากาศ มีบอก อุณหภูมิ ความชื้น ค่า pm บน จอ led การทํางานของเครื่องเงียบมาก ใช้ได้ดีในห้องใหญ่ ราคาก็ดี ซื้อในวัน 2.2
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,ส่งของรวดเร็ว บรรจุภัณฑ์อยู่ในสภาพเรียบร้อยดี ส่วนสินค้ายังไม่ได้ทดลองใช้ เสียดายขอ eTAX ไม่ได้
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,สั่งมา ใช้งานได้ดี จอมีบอกทั้ง อุณหภูมิ ความชื้น และ ค่าฝุ่น หายใจสดชื่นขึ้นเยอะ น่าจะเพราะมีกรองกลิ่นด้วย ใครไม่ติดเรื่องไส้กรองราคาพอสมควร เป็นอีกรุ่นที่น่าใช้เลยครับ
Xiaomi Air Purifier 4 Pro เป็นเครื่องฟอกอากาศที่มีฟิลเตอร์ HEPA แบบ True HEPA กรองอนุภาคได้ถึง 99.97% และฟิลเตอร์ถ่านกัมมันต์ดูดซับก๊าซพิษและกลิ่น CADR สูงถึง 500 ลบ.ม./ชม. เหมาะสำหรับห้องขนาด 35-60 ตร.ม. มีเซ็นเซอร์วัดคุณภาพอากาศแบบเรียลไทม์ หน้าจอ OLED แสดงข้อมูลการใช้งาน ควบคุมผ่านแอป Mi Home และมีโหมดการทำงานหลากหลายเพื่อตอบโจทย์ทุกความต้องการ,สินค้าดี มีคุณภาพของแท้ มีตรา มอก.ด้วย โปรดี ราคาดี มีผ่อนชําระ เสียอย่างเดียวคือการขนส่ง บริษัท flash express ซึ่งล่าช้ามาก
